DATETIME,alt(km),lat(deg),lon(deg)
2019-07-31 03:59:00,11879.81638,-0.221327,2.959102
2019-07-31 04:04:00,11949.79293,-2.87684,4.631392
2019-07-31 04:09:00,11999.34022,-5.507583,6.298105
2019-07-31 04:14:00,12028.33392,-8.112781,7.978023
2019-07-31 04:19:00,12036.70075,-10.691423,9.689909
2019-07-31 04:24:00,12024.41661,-13.242053,11.452889
2019-07-31 04:29:00,11991.50606,-15.762558,13.286824
2019-07-31 04:34:00,11938.04309,-18.249928,15.21268
2019-07-31 04:39:00,11864.15329,-20.699975,17.252875
2019-07-31 04:44:00,11770.01741,-23.107009,19.431621
2019-07-31 04:49:00,11655.87648,-25.463443,21.775208
2019-07-31 04:54:00,11522.03851,-27.759319,24.312214
2019-07-31 04:59:00,11368.88699,-29.981758,27.073546
2019-07-31 05:04:00,11196.89149,-32.114304,30.092223
2019-07-31 05:09:00,11006.62039,-34.136198,33.402724
2019-07-31 05:14:00,10798.75613,-36.021613,37.039689
2019-07-31 05:19:00,10574.11335,-37.738925,41.035718
2019-07-31 05:24:00,10333.65994,-39.250176,45.418008
2019-07-31 05:29:00,10078.54145,-40.510943,50.203738
2019-07-31 05:34:00,9810.10898,-41.470905,55.394406
2019-07-31 05:39:00,9529.95039,-42.075404,60.970003
2019-07-31 05:44:00,9239.92462,-42.268212,66.88459
2019-07-31 05:49:00,8942.19825,-41.995397,73.065423
2019-07-31 05:54:00,8639.28285,-41.209826,79.417439
2019-07-31 05:59:00,8334.07038,-39.875421,85.83339
2019-07-31 06:04:00,8029.86307,-37.970263,92.207669
2019-07-31 06:09:00,7730.39174,-35.487981,98.450107
2019-07-31 06:14:00,7439.81536,-32.437501,104.496089
2019-07-31 06:19:00,7162.69211,-28.841807,110.311083
2019-07-31 06:24:00,6903.91142,-24.736539,115.889979
2019-07-31 06:29:00,6668.57667,-20.169064,121.253053
2019-07-31 06:34:00,6461.83157,-15.19824,126.440694
2019-07-31 06:39:00,6288.63021,-9.894705,131.508422
2019-07-31 06:44:00,6153.46175,-4.341254,136.522956
2019-07-31 06:49:00,6060.05459,1.367189,141.559409
2019-07-31 06:54:00,6011.09694,7.124408,146.699222
2019-07-31 06:59:00,6008.01721,12.814713,152.028129
2019-07-31 07:04:00,6050.86274,18.315686,157.633121
2019-07-31 07:09:00,6138.29993,23.501672,163.597104
2019-07-31 07:14:00,6267.73475,28.247994,169.989788
2019-07-31 07:19:00,6435.53042,32.436168,176.853787
2019-07-31 07:24:00,6637.28315,35.960751,184.186687
2019-07-31 07:29:00,6868.11371,38.7382,191.923488
2019-07-31 07:34:00,7122.93877,40.716947,199.928137
2019-07-31 07:39:00,7396.69824,41.885937,208.003918
2019-07-31 07:44:00,7684.52803,42.277628,215.925466
2019-07-31 07:49:00,7981.87817,41.962771,223.482251
2019-07-31 07:54:00,8284.58278,41.038017,230.515208
2019-07-31 07:59:00,8588.89179,39.610741,236.93315
2019-07-31 08:04:00,8891.47441,37.785851,242.70848
2019-07-31 08:09:00,9189.40359,35.657218,247.860994
2019-07-31 08:14:00,9480.12872,33.303797,252.439336
2019-07-31 08:19:00,9761.4422,30.789163,256.505786
2019-07-31 08:24:00,10031.44371,28.162938,260.125992
2019-07-31 08:29:00,10288.50479,25.462993,263.36305
2019-07-31 08:34:00,10531.23529,22.717732,266.274647
2019-07-31 08:39:00,10758.45264,19.948151,268.912089
2019-07-31 08:44:00,10969.15422,17.169563,271.320377
2019-07-31 08:49:00,11162.49306,14.392975,273.538776
2019-07-31 08:54:00,11337.75668,11.626171,275.601593
2019-07-31 08:59:00,11494.3489,8.87455,277.538981
2019-07-31 09:04:00,11631.77439,6.14177,279.377711
2019-07-31 09:09:00,11749.62568,3.43025,281.141869
2019-07-31 09:14:00,11847.57238,0.741567,282.85347
2019-07-31 09:19:00,11925.35239,-1.923233,284.533015
2019-07-31 09:24:00,11982.76496,-4.563374,286.199977
2019-07-31 09:29:00,12019.66532,-7.178119,287.87325
2019-07-31 09:34:00,12035.96085,-9.766568,289.57156
2019-07-31 09:39:00,12031.60868,-12.327451,291.313854
2019-07-31 09:44:00,12006.61463,-14.858926,293.119677
2019-07-31 09:49:00,11961.03349,-17.358339,295.009541
2019-07-31 09:54:00,11894.97067,-19.821972,297.005281
2019-07-31 09:59:00,11808.58519,-22.244729,299.130397
2019-07-31 10:04:00,11702.09422,-24.619769,301.410368
2019-07-31 10:09:00,11575.7791,-26.93807,303.872887
2019-07-31 10:14:00,11429.99319,-29.187904,306.547981
2019-07-31 10:19:00,11265.1716,-31.354218,309.467895
2019-07-31 10:24:00,11081.84307,-33.417941,312.666626
2019-07-31 10:29:00,10880.64427,-35.355222,316.178887
2019-07-31 10:34:00,10662.33672,-37.136682,320.03827
2019-07-31 10:39:00,10427.82676,-38.726787,324.274342
2019-07-31 10:44:00,10178.18862,-40.083539,328.908487
2019-07-31 10:49:00,9914.69098,-41.158755,333.948594
2019-07-31 10:54:00,9638.82689,-41.899225,339.38316
2019-07-31 10:59:00,9352.34702,-42.249025,345.176147
2019-07-31 11:04:00,9057.29548,-42.152996,351.264569
2019-07-31 11:09:00,8756.04708,-41.561085,357.560864
2019-07-31 11:14:00,8451.34388,-40.432782,3.961032
2019-07-31 11:19:00,8146.32778,-38.740727,10.357426
2019-07-31 11:24:00,7844.56403,-36.472749,16.652982
2019-07-31 11:29:00,7550.04901,-33.632172,22.772988
2019-07-31 11:34:00,7267.19349,-30.236843,28.671731
2019-07-31 11:39:00,7000.77086,-26.317718,34.333595
2019-07-31 11:44:00,6755.81988,-21.917712,39.770027
2019-07-31 11:49:00,6537.49314,-17.091222,45.014537
2019-07-31 11:54:00,6350.84804,-11.904272,50.117492
2019-07-31 11:59:00,6200.58677,-6.43493,55.141778
2019-07-31 12:04:00,6090.76454,-0.773498,60.159611
2019-07-31 12:09:00,6024.49893,4.977968,65.250281
2019-07-31 12:14:00,6003.72219,10.707097,70.498207
2019-07-31 12:19:00,6029.01851,16.293602,75.990427
2019-07-31 12:24:00,6099.57629,21.612512,81.81228
2019-07-31 12:29:00,6213.26415,26.538103,88.039856
2019-07-31 12:34:00,6366.81524,30.948687,94.727906
2019-07-31 12:39:00,6556.08581,34.732797,101.893088
2019-07-31 12:44:00,6776.34549,37.797335,109.495404
2019-07-31 12:49:00,7022.55984,40.077446,117.425068
2019-07-31 12:54:00,7289.63652,41.546116,125.504962
2019-07-31 12:59:00,7572.61952,42.219714,133.51512
2019-07-31 13:04:00,7866.8277,42.15594,141.234019
2019-07-31 13:09:00,8167.94219,41.443697,148.480002
2019-07-31 13:14:00,8472.0516,40.188284,155.136031
2019-07-31 13:19:00,8775.66518,38.496976,161.152372
2019-07-31 13:24:00,9075.70357,36.468577,166.533522
2019-07-31 13:29:00,9369.47532,34.187901,171.319573
2019-07-31 13:34:00,9654.64527,31.72422,175.569344
2019-07-31 13:39:00,9929.19932,29.132155,179.34825
2019-07-31 13:44:00,10191.40865,26.453701,182.720902
2019-07-31 13:49:00,10439.79536,23.720534,185.74726
2019-07-31 13:54:00,10673.10056,20.95619,188.481087
2019-07-31 13:59:00,10890.25553,18.177913,190.969717
2019-07-31 14:04:00,11090.35616,15.398166,193.254489
2019-07-31 14:09:00,11272.64057,12.625815,195.371474
2019-07-31 14:14:00,11436.46986,9.867054,197.35229
2019-07-31 14:19:00,11581.31158,7.126116,199.22489
2019-07-31 14:24:00,11706.72589,4.405826,201.014286
2019-07-31 14:29:00,11812.35388,1.708027,202.743202
2019-07-31 14:34:00,11897.90812,-0.966073,204.432644
2019-07-31 14:39:00,11963.165,-3.615629,206.102416
2019-07-31 14:44:00,12007.95874,-6.239915,207.77158
2019-07-31 14:49:00,12032.17701,-8.838114,209.458879
2019-07-31 14:54:00,12035.75802,-11.409119,211.183136
2019-07-31 14:59:00,12018.6889,-13.95132,212.963629
2019-07-31 15:04:00,11981.00549,-16.462392,214.820468
2019-07-31 15:09:00,11922.79344,-18.93904,216.774953
2019-07-31 15:14:00,11844.19072,-21.376712,218.849921
2019-07-31 15:19:00,11745.39151,-23.769258,221.070073
2019-07-31 15:24:00,11626.65165,-26.108516,223.462244
2019-07-31 15:29:00,11488.29578,-28.383822,226.05557
2019-07-31 15:34:00,11330.72631,-30.58143,228.88147
2019-07-31 15:39:00,11154.43446,-32.683847,231.973332
2019-07-31 15:44:00,10960.01357,-34.66909,235.365704
2019-07-31 15:49:00,10748.17503,-36.509926,239.09279
2019-07-31 15:54:00,10519.767,-38.173189,243.185964
2019-07-31 15:59:00,10275.79628,-39.619326,247.670091
2019-07-31 16:04:00,10017.45354,-40.80243,252.558616
2019-07-31 16:09:00,9746.14193,-41.671038,257.847792
2019-07-31 16:14:00,9463.50913,-42.169999,263.511079
2019-07-31 16:19:00,9171.48225,-42.243526,269.495494
2019-07-31 16:24:00,8872.30476,-41.839275,275.722037
2019-07-31 16:29:00,8568.57365,-40.912829,282.09169
2019-07-31 16:34:00,8263.27401,-39.431707,288.496744
2019-07-31 16:39:00,7959.80672,-37.378018,294.834902
2019-07-31 16:44:00,7662.00322,-34.749378,301.022325
2019-07-31 16:49:00,7374.11934,-31.558335,307.002313
2019-07-31 16:54:00,7100.79821,-27.831024,312.748359
2019-07-31 16:59:00,6846.9917,-23.605862,318.262418
2019-07-31 17:04:00,6617.83043,-18.932822,323.570414
2019-07-31 17:09:00,6418.43668,-13.873376,328.716971
2019-07-31 17:14:00,6253.68238,-8.500887,333.760699
2019-07-31 17:19:00,6127.90636,-2.900953,338.770603
2019-07-31 17:24:00,6044.61863,2.828765,343.823537
2019-07-31 17:29:00,6006.23101,8.579591,349.00225
2019-07-31 17:34:00,6013.8574,14.233874,354.393216
2019-07-31 17:39:00,6067.21956,19.667923,0.083149
2019-07-31 17:44:00,6164.67618,24.755672,6.152831
2019-07-31 17:49:00,6303.3689,29.373118,12.666808
2019-07-31 17:54:00,6479.45714,33.403923,19.658208
2019-07-31 17:59:00,6688.40129,36.746815,27.110201
2019-07-31 18:04:00,6925.25222,39.324981,34.939655
2019-07-31 18:09:00,7184.91403,41.096184,42.992608
